/A X,/A Y,/nand_AB X,/nand_AB Y,/nand_1B X,/nand_1B Y,/nand_A1 X,/nand_A1 Y
0.3800000000000002,0.3800000000000002,0.3800000000000002,1.799892296564957,0.3800000000000002,1.799254450029457,0.3800000000000002,1.799440730083379
0.3900000000000002,0.3900000000000002,0.3900000000000002,1.799861109147903,0.3900000000000002,1.79905087381436,0.3900000000000002,1.799286388966474
0.4000000000000002,0.4000000000000002,0.4000000000000002,1.799821596672106,0.4000000000000002,1.798797603703939,0.4000000000000002,1.799093193271622
0.4100000000000002,0.4100000000000002,0.4100000000000002,1.799771816347854,0.4100000000000002,1.79848465342302,0.4100000000000002,1.798852706112391
0.4200000000000002,0.4200000000000002,0.4200000000000002,1.799709474319424,0.4200000000000002,1.798100754390981,0.4200000000000002,1.798555112115882
0.4300000000000002,0.4300000000000002,0.4300000000000002,1.799631897781414,0.4300000000000002,1.797633422948561,0.4300000000000002,1.79818914328012
0.4400000000000002,0.4400000000000002,0.4400000000000002,1.799536017596367,0.4400000000000002,1.797069104362746,0.4400000000000002,1.797742053809566
0.4500000000000002,0.4500000000000002,0.4500000000000002,1.7994183657266,0.4500000000000002,1.796393392904179,0.4500000000000002,1.797199657003129
0.4600000000000002,0.4600000000000002,0.4600000000000002,1.7992750909831,0.4600000000000002,1.795591314245146,0.4600000000000002,1.796546430943363
0.4700000000000003,0.4700000000000003,0.4700000000000003,1.799101994629219,0.4700000000000003,1.794647643650259,0.4700000000000003,1.795765689870255
0.4800000000000003,0.4800000000000003,0.4800000000000003,1.798894584433619,0.4800000000000003,1.793547224860099,0.4800000000000003,1.794839806711211
0.4900000000000003,0.4900000000000003,0.4900000000000003,1.798648142505251,0.4900000000000003,1.792275253109469,0.4900000000000003,1.793750462327702
0.5000000000000002,0.5000000000000002,0.5000000000000002,1.798357799631053,0.5000000000000002,1.790817491860839,0.5000000000000002,1.792478891566492
0.5100000000000002,0.5100000000000002,0.5100000000000002,1.79801860773975,0.5100000000000002,1.789160404411997,0.5100000000000002,1.791006096720395
0.5200000000000002,0.5200000000000002,0.5200000000000002,1.797625602874355,0.5200000000000002,1.787291194824665,0.5200000000000002,1.789313004997448
0.5300000000000002,0.5300000000000002,0.5300000000000002,1.797173853328283,0.5300000000000002,1.785197763971462,0.5300000000000002,1.787380555790913
0.5400000000000003,0.5400000000000003,0.5400000000000003,1.796658490554805,0.5400000000000003,1.782868593640105,0.5400000000000003,1.785189712941808
